id,year,month,day,section,landmark,treatment,fork_length,distance,cluster
RYDRRR,2017,10,12,E1,409,early,134,90,2nd
RYDRRR,2017,7,27,E1,409,early,134,90,2nd
RYDRYD,2017,5,27,C1,464,control,119,640,2nd
RYDRYP,2017,5,27,C1,467,control,135,670,1st
RYDRYP,2017,10,13,C1,468,control,156,680,1st
RYDRYY,2017,10,13,C1,464,control,120,640,2nd
RYDRYY,2017,5,27,C1,461,control,116,610,2nd
RYDRYY,2017,7,29,C1,466,control,119,660,2nd
RYDYBP,2017,10,10,L2,443,late,118,430,2nd
RYDYBY,2017,10,10,L1,440,late,114,400,3rd
RYDYGB,2017,7,30,E3,529,early,98,1290,3rd
RYDYGB,2017,10,13,E3,529,early,104,1290,3rd
RYDYPG,2017,10,11,L3,485,late,126,850,2nd
RYDYPG,2017,7,31,L3,486.5,late,113,865,2nd
RYDYYG,2017,10,13,E3,528,early,107,1280,3rd
RYDYYG,2017,7,30,E3,530,early,100,1300,3rd
RYDYYR,2017,10,13,E3,529,early,122,1290,2nd
RYDYYR,2017,7,30,E3,529,early,112,1290,2nd
RYRBBD,2016,8,18,C2,499,control,90,990,2nd
RYRBBD,2016,10,12,C2,499,control,93,990,2nd
RYRBBD,2017,5,26,C2,499,control,119,990,2nd
RYRBBG,2016,8,18,C2,495,control,80,950,2nd
RYRBBP,2017,5,26,C2,499,control,129,990,2nd
RYRBBP,2017,7,30,C2,499,control,131,990,2nd
RYRBBP,2016,8,18,C2,499,control,91,990,2nd
RYRBBP,2017,3,20,C2,499,control,111,990,2nd
RYRBBR,2016,10,12,C2,494,control,101,940,1st
RYRBBR,2016,8,18,C2,494,control,93,940,1st
RYRBBR,2017,10,11,C2,494,control,127,940,1st
RYRBBR,2017,3,20,C2,495,control,108,950,1st
RYRBBY,2016,8,18,C2,496,control,72,960,2nd
RYRBBY,2017,3,20,C2,496,control,109,960,2nd
RYRBBY,2016,10,12,C2,497,control,76,970,2nd
RYRBBY,2017,10,11,C2,493,control,126,930,2nd
RYRBDB,2017,5,26,C2,499,control,120,990,2nd
RYRBDB,2016,8,18,C2,499,control,74,990,2nd
RYRBDB,2017,10,11,C2,501,control,123,1010,2nd
RYRBDG,2016,8,18,C2,492,control,87,920,2nd
RYRBDG,2017,5,26,C2,493,control,119,930,2nd
RYRBDP,2017,5,26,C2,499,control,129,990,2nd
RYRBDP,2017,7,30,C2,499,control,136,990,2nd
RYRBDP,2016,8,18,C2,497,control,83,970,2nd
RYRBDR,2016,8,18,C2,492,control,104,920,1st
RYRBGB,2016,8,17,E2,417,early,85,170,2nd
RYRBGD,2016,10,11,E1,404,early,89,40,1st
RYRBGD,2017,5,25,E1,402,early,132,20,1st
RYRBGD,2016,8,17,E1,402,early,87,20,1st
RYRBGD,2017,10,12,E1,403,early,163,30,1st
RYRBGD,2017,7,27,E1,403,early,151,30,1st
RYRBGP,2016,8,17,E1,406,early,100,60,1st
RYRBGY,2016,8,17,E1,402,early,86,20,2nd
RYRBPB,2016,8,18,C2,492,control,96,920,1st
RYRBPD,2017,7,30,C3,509,control,140,1090,2nd
RYRBPD,2017,3,20,C3,509,control,107,1090,2nd
RYRBPD,2016,8,18,C3,509,control,87,1090,2nd
RYRBPD,2017,10,11,C3,509,control,140,1090,2nd
RYRBPG,2017,3,20,C2,499,control,93,990,2nd
RYRBPG,2017,5,26,C2,499,control,119,990,2nd
RYRBPG,2017,7,30,C2,501,control,122,1010,2nd
RYRBPG,2016,8,18,C2,501,control,73,1010,2nd
RYRBPG,2016,10,12,C2,499,control,78,990,2nd
RYRBPR,2016,8,18,C2,500,control,93,1000,1st
RYRBPR,2016,10,12,C2,493,control,106,930,1st
RYRBPR,2017,5,26,C2,492,control,128,920,1st
RYRBRD,2017,7,28,E2,424,early,130,240,1st
RYRBRD,2017,3,18,E2,424,early,112,240,1st
RYRBRD,2017,10,12,E2,424,early,132,240,1st
RYRBRD,2016,8,17,E2,424,early,101,240,1st
RYRBRR,2016,8,17,E2,423,early,91,230,1st
RYRBYD,2016,8,17,E1,406,early,94,60,1st
RYRBYP,2016,8,18,C2,490,control,81,900,2nd
RYRBYR,2017,7,27,E1,407.5,early,111,75,2nd
RYRBYR,2017,10,12,E1,407,early,112,70,2nd
RYRBYR,2016,8,17,E1,408,early,88,80,2nd
RYRBYR,2017,5,25,E1,409,early,107,90,2nd
RYRBYY,2016,8,17,E1,404,early,101,40,1st
RYRDDD,2016,10,11,L3,484,late,75,840,3rd
RYRDDD,2016,8,16,L3,482,late,71,820,3rd
RYRDGB,2017,3,29,L3,475,late,100,750,2nd
RYRDGB,2016,8,16,L3,476,late,78,760,2nd
RYRDGB,2016,10,11,L3,476,late,82,760,2nd
RYRDGD,2016,8,16,L3,473,late,76,730,3rd
RYRDGP,2016,10,11,L3,475,late,96,750,1st
RYRDGP,2017,7,31,L3,474,late,147,740,1st
RYRDGP,2016,8,16,L3,475,late,86,750,1st
RYRDGP,2017,10,11,L3,477,late,173,770,1st
RYRDGP,2017,5,26,L3,475,late,141,750,1st
RYRDGY,2016,8,16,L3,473,late,78,730,2nd
RYRDPG,2017,10,11,L3,485,late,193,850,1st
RYRDPG,2017,7,31,L3,485,late,176,850,1st
RYRDPG,2016,8,16,L3,483,late,98,830,1st
RYRDPG,2017,5,26,L3,484,late,162,840,1st
RYRDPP,2017,3,29,L3,484.5,late,131,845,1st
RYRDPP,2016,8,16,L3,484,late,80,840,1st
RYRDPP,2016,10,11,L3,484,late,112,840,1st
RYRDPP,2017,10,11,L3,483,late,195,830,1st
RYRDPR,2017,7,31,L3,483,late,133,830,1st
RYRDPR,2016,8,16,L3,483,late,95,830,1st
RYRDPR,2017,10,11,L3,480,late,153,800,1st
RYRDRB,2016,8,16,L1,439,late,80,390,2nd
RYRDRB,2017,3,19,L1,438,late,91,380,2nd
RYRDRD,2017,3,19,L1,435,late,113,350,1st
RYRDRD,2016,8,16,L1,435,late,86,350,1st
RYRDRD,2017,10,10,L1,436,late,155,360,1st
RYRDRD,2016,10,10,L1,436,late,99,360,1st
RYRDRP,2017,5,24,L1,437,late,143,370,1st
RYRDRP,2016,8,16,L1,435,late,85,350,1st
RYRDRP,2017,7,28,L1,436,late,148,360,1st
RYRDRP,2017,3,19,L1,437,late,121,370,1st
RYRDRR,2016,8,16,L1,440,late,100,400,1st
RYRDRY,2017,7,28,L1,435,late,133,350,2nd
RYRDRY,2017,3,19,L1,435,late,103,350,2nd
RYRDRY,2017,5,24,L1,436,late,127,360,2nd
RYRDRY,2016,8,16,L1,435,late,79,350,2nd
RYRDRY,2017,10,10,L1,436,late,143,360,2nd
RYRDYD,2017,3,29,L3,479,late,104,790,2nd
RYRDYD,2016,8,16,L3,478,late,79,780,2nd
RYRDYG,2016,8,16,L3,477,late,84,770,2nd
RYRDYR,2016,8,16,L3,477,late,85,770,1st
RYRDYR,2017,3,29,L3,476.5,late,123,765,1st
RYRDYR,2016,10,11,L3,477,late,104,770,1st
RYRPBB,2017,5,24,E2,420,early,146,200,1st
RYRPBB,2016,8,17,E2,423,early,94,230,1st
RYRPBD,2016,8,17,E2,421,early,77,210,2nd
RYRPBG,2016,10,13,E2,420,early,113,200,1st
RYRPBG,2016,8,17,E2,421,early,113,210,1st
RYRPBR,2016,8,17,E2,421,early,105,210,1st
RYRPBY,2017,3,18,E2,422,early,108,220,1st
RYRPBY,2016,8,17,E2,421,early,92,210,1st
RYRPBY,2017,7,28,E2,421,early,144,210,1st
RYRPBY,2016,10,13,E2,421,early,97,210,1st
RYRPBY,2017,5,24,E2,421,early,130,210,1st
RYRPBYY,2017,7,28,E2,423,early,147,230,1st
RYRPBYY,2017,10,12,E2,422.5,early,149,225,1st
RYRPBYY,2016,10,13,E2,423,early,98,230,1st
RYRPDD,2016,10,11,E2,414,early,100,140,1st
RYRPDD,2016,8,17,E2,418,early,95,180,1st
RYRPDP,2016,10,13,E2,418,early,108,180,1st
RYRPDP,2016,8,17,E2,418,early,106,180,1st
RYRPDR,2016,8,17,E2,416,early,88,160,2nd
RYRPDY,2016,8,17,E2,418,early,94,180,2nd
RYRPDY,2017,10,12,E2,419,early,130,190,2nd
RYRPGB,2016,8,17,E3,527,early,95,1270,1st
RYRPGB,2017,5,25,E3,529,early,146,1290,1st
RYRPGB,2017,7,30,E3,534,early,183,1340,1st
RYRPGB,2016,10,10,E3,528,early,101,1280,1st
RYRPGP,2017,3,20,E3,527,early,128,1270,1st
RYRPGP,2016,8,17,E3,527,early,104,1270,1st
RYRPGR,2017,3,29,L3,489,late,123,890,1st
RYRPGR,2016,8,16,L3,489,late,98,890,1st
RYRPGY,2016,8,17,E3,525,early,95,1250,1st
RYRPGY,2017,5,25,E3,529,early,135,1290,1st
RYRPPB,2017,5,24,E2,415,early,133,150,2nd
RYRPPB,2017,7,28,E2,415,early,148,150,2nd
RYRPPB,2016,8,17,E2,421,early,76,210,2nd
RYRPPD,2016,8,17,E2,420,early,89,200,2nd
RYRPPG,2016,8,17,E2,420,early,91,200,1st
RYRPPP,2016,10,13,E2,421,early,104,210,1st
RYRPPP,2016,8,17,E2,421,early,98,210,1st
RYRPPR,2016,8,17,E2,420,early,100,200,1st
RYRPRD,2016,10,11,L3,489,late,106,890,1st
RYRPRD,2016,8,16,L3,488,late,94,880,1st
RYRPRG,2017,7,31,L3,484,late,139,840,2nd
RYRPRG,2016,10,11,L3,483,late,83,830,2nd
RYRPRG,2017,5,26,L3,484,late,133,840,2nd
RYRPRG,2016,8,16,L3,486,late,75,860,2nd
RYRPRG,2017,3,29,L3,483,late,119,830,2nd
RYRPRR,2016,10,11,L3,487,late,97,870,1st
RYRPRR,2017,5,26,L3,485,late,130,850,1st
RYRPRR,2017,7,31,L3,486.5,late,138,865,1st
RYRPRR,2016,8,16,L3,486,late,93,860,1st
RYRPYB,2016,8,17,E3,534,early,101,1340,1st
RYRPYB,2017,3,20,E3,534,early,136,1340,1st
RYRPYR,2017,5,25,E3,529,early,128,1290,2nd
RYRPYR,2016,8,17,E3,527,early,82,1270,2nd
RYRPYR,2017,3,20,E3,527,early,101,1270,2nd
RYRPYR,2017,7,30,E3,535,early,147,1350,2nd
RYRYBD,2016,10,10,L1,437,late,78,370,3rd
RYRYBD,2016,8,16,L1,438,late,68,380,3rd
RYRYBG,2017,10,10,L1,435,late,129,350,2nd
RYRYBG,2017,7,28,L1,437,late,117,370,2nd
RYRYBG,2016,8,16,L1,437,late,80,370,2nd
RYRYBG,2017,5,24,L1,436,late,115,360,2nd
RYRYBR,2016,8,16,L1,436,late,69,360,3rd
RYRYBR,2017,7,28,L1,440,late,93,400,3rd
RYRYBY,2016,8,16,L1,437,late,97,370,1st
RYRYDD,2017,10,10,L1,432,late,133,320,2nd
RYRYDD,2016,10,10,L1,432,late,84,320,2nd
RYRYDD,2017,5,24,L1,432,late,116,320,2nd
RYRYDD,2016,8,16,L1,432,late,75,320,2nd
RYRYDR,2016,8,15,L2,450,late,78,500,2nd
RYRYDY,2016,8,15,L2,447,late,85,470,2nd
RYRYGR,2016,5,27,C1,467,control,84,670,2nd
RYRYGR,2017,10,13,C1,469,control,118,690,2nd
RYRYGR,2017,5,27,C1,469,control,113,690,2nd
RYRYPG,2017,5,24,L1,432,late,117,320,2nd
RYRYPG,2016,8,16,L1,434,late,80,340,2nd
RYRYPP,2017,10,10,L1,437,late,134,370,2nd
RYRYPP,2016,10,10,L1,435,late,91,350,2nd
RYRYPP,2017,5,24,L1,435,late,122,350,2nd
RYRYPP,2016,8,16,L1,435,late,75,350,2nd
RYRYPR,2017,5,24,L1,438,late,121,380,2nd
RYRYPR,2016,8,16,L1,434,late,80,340,2nd
RYRYPR,2017,3,19,L1,438,late,102,380,2nd
RYRYPR,2017,10,10,L1,438,late,122,380,2nd
RYRYPR,2016,10,10,L1,435,late,87,350,2nd
RYRYPR,2017,7,28,L1,439,late,121,390,2nd
RYRYYD,2017,5,27,L2,444,late,111,440,2nd
RYRYYD,2017,7,29,L2,446,late,116,460,2nd
RYRYYD,2017,3,19,L2,445,late,94,450,2nd
RYRYYD,2017,10,10,L2,444,late,129,440,2nd
RYRYYD,2016,8,15,L2,444,late,75,440,2nd
RYRYYG,2017,5,24,L1,436,late,134,360,1st
RYRYYG,2017,7,28,L1,436,late,128,360,1st
RYRYYG,2016,8,15,L2,441,late,99,410,1st
RYRYYP,2017,7,29,L2,447.5,late,122,475,2nd
RYRYYP,2016,8,15,L2,447,late,83,470,2nd
RYRYYP,2017,5,27,L2,447,late,123,470,2nd
RYRYYP,2017,3,19,L2,447,late,105,470,2nd
RYRYYY,2017,10,10,L1,440,late,131,400,2nd
RYRYYY,2016,8,15,L2,441,late,88,410,2nd
RYYBBP,2017,10,12,E1,403,early,146,30,1st
RYYBBP,2017,5,25,E1,402,early,135,20,1st
RYYBBP,2017,7,27,E1,402,early,142,20,1st
RYYBBR,2017,5,25,E1,405.5,early,130,55,1st
RYYBDD,2017,10,10,L1,437,late,137,370,2nd
RYYBDD,2017,5,24,L1,438,late,118,380,2nd
RYYBDR,2017,7,28,E2,420,early,143,200,1st
RYYBDR,2017,5,24,E2,419,early,140,190,1st
RYYBGB,2017,5,24,E2,410,early,142,100,1st
RYYDBB,2016,10,13,E2,423,early,88,230,2nd
RYYDBB,2017,7,28,E2,423,early,123,230,2nd
RYYDBD,2017,3,18,E2,422,early,90,220,2nd
RYYDBD,2016,10,13,E2,422,early,82,220,2nd
RYYDBG,2017,3,18,E2,421,early,99,210,2nd
RYYDBG,2016,10,13,E2,421,early,90,210,2nd
RYYDBP,2017,5,24,E2,418,early,126,180,1st
RYYDBP,2017,3,18,E2,419,early,114,190,1st
RYYDBP,2016,10,13,E2,423,early,94,230,1st
RYYDBR,2016,10,13,E2,420,early,82,200,2nd
RYYDBR,2017,5,24,E2,419,early,118,190,2nd
RYYDBR,2017,7,28,E2,419,early,143,190,2nd
RYYDBR,2017,3,18,E2,420,early,93,200,2nd
RYYDBY,2017,3,18,E2,424,early,102,240,1st
RYYDBY,2017,7,28,E2,423,early,153,230,1st
RYYDBY,2017,10,12,E2,422.5,early,151,225,1st
RYYDBY,2016,10,13,E2,422,early,97,220,1st
RYYDDG,2017,10,13,C1,461,control,105,610,3rd
RYYDDG,2016,10,12,C1,460,control,88,600,3rd
RYYDDG,2017,5,27,C1,461,control,102,610,3rd
RYYDDP,2017,10,13,C1,469,control,125,690,3rd
RYYDDP,2017,3,28,C1,466,control,72,660,3rd
RYYDDP,2016,10,12,C1,465,control,69,650,3rd
RYYDGD,2016,10,12,C3,503,control,94,1030,1st
RYYDGR,2016,10,12,C2,499,control,89,990,2nd
RYYDGR,2017,5,26,C2,499,control,111,990,2nd
RYYDGR,2017,10,11,C2,501,control,121,1010,2nd
RYYDGR,2017,3,20,C2,499,control,95,990,2nd
RYYDPG,2017,10,13,C1,466,control,106,660,3rd
RYYDPG,2016,10,12,C1,466,control,81,660,3rd
RYYDPP,2017,7,28,E2,415,early,133,150,2nd
RYYDPP,2016,10,13,E2,418,early,87,180,2nd
RYYDPR,2016,10,12,C1,466,control,91,660,2nd
RYYDPR,2017,3,28,C1,466,control,93,660,2nd
RYYDPR,2017,5,27,C1,466,control,109,660,2nd
RYYDRD,2016,10,12,C2,497,control,82,970,2nd
RYYDRD,2017,7,30,C2,497.5,control,125,975,2nd
RYYDRG,2016,10,12,C2,495,control,86,950,2nd
RYYDRP,2016,10,12,C2,497,control,103,970,1st
RYYDRP,2017,5,26,C2,498,control,136,980,1st
RYYDRP,2017,10,11,C2,498,control,153,980,1st
RYYDRP,2017,3,20,C2,498,control,116,980,1st
RYYDRP,2017,7,30,C2,497.5,control,137,975,1st
RYYDRR,2016,10,12,C2,495,control,97,950,1st
RYYDRY,2017,3,20,C2,499,control,103,990,2nd
RYYDRY,2017,5,26,C2,499,control,128,990,2nd
RYYDRY,2016,10,12,C2,497,control,95,970,2nd
RYYDRY,2017,7,30,C2,501,control,132,1010,2nd
RYYDYB,2017,5,27,C1,461,control,116,610,2nd
RYYDYB,2017,10,13,C1,459,control,131,590,2nd
RYYDYB,2017,7,29,C1,459,control,126,590,2nd
RYYDYB,2016,10,12,C1,459,control,76,590,2nd
RYYDYG,2017,7,30,C3,509,control,131,1090,1st
RYYDYG,2016,10,12,C3,509,control,98,1090,1st
RYYDYG,2017,5,26,C3,509,control,129,1090,1st
RYYDYP,2016,10,12,C1,458,control,69,580,3rd
RYYDYP,2017,3,28,C1,459,control,77,590,3rd
RYYDYY,2016,10,12,C3,509,control,79,1090,2nd
RYYGBB,2016,10,11,E1,402,early,80,20,2nd
RYYGDP,2016,10,10,L1,439,late,84,390,2nd
RYYGDP,2017,10,10,L1,440,late,123,400,2nd
RYYGDP,2017,7,28,L1,440,late,112,400,2nd
RYYGDY,2017,7,28,L1,435,late,118,350,2nd
RYYGDY,2016,10,10,L1,433,late,81,330,2nd
RYYGDY,2017,10,10,L1,435,late,139,350,2nd
RYYGDY,2017,5,24,L1,435,late,118,350,2nd
RYYGGB,2017,7,29,C1,461,control,120,610,2nd
RYYGGB,2016,8,18,C1,463,control,88,630,2nd
RYYGGB,2017,10,13,C1,461,control,121,610,2nd
RYYGGY,2016,10,12,C1,460,control,84,600,2nd
RYYGGY,2016,8,18,C1,460,control,80,600,2nd
RYYGPD,2017,10,10,L2,446,late,157,460,1st
RYYGPD,2017,7,29,L2,449,late,132,490,1st
RYYGPD,2016,10,10,L2,448,late,97,480,1st
RYYGPD,2017,5,27,L2,449,late,125,490,1st
RYYGPG,2016,10,10,L2,445,late,79,450,2nd
RYYGPR,2016,10,10,L2,444,late,86,440,2nd
RYYGPY,2017,7,29,L2,444,late,115,440,2nd
RYYGPY,2017,10,10,L2,445,late,132,450,2nd
RYYGPY,2016,10,10,L2,447,late,83,470,2nd
RYYGPY,2017,5,27,L2,445,late,111,450,2nd
RYYGRB,2017,10,13,C1,469,control,115,690,3rd
RYYGRB,2016,8,18,C1,467,control,77,670,3rd
RYYGRD,2017,3,28,C1,466,control,101,660,2nd
RYYGRD,2016,8,18,C1,466,control,88,660,2nd
RYYGRD,2016,10,12,C1,466,control,95,660,2nd
RYYGRG,2016,8,18,C1,464,control,78,640,3rd
RYYGRG,2016,10,12,C1,465,control,82,650,3rd
RYYGRG,2017,7,29,C1,466,control,104,660,3rd
RYYGRP,2016,8,18,C1,466,control,91,660,1st
RYYGRP,2017,5,27,C1,466,control,139,660,1st
RYYGRP,2016,10,12,C1,466,control,104,660,1st
RYYGRR,2016,8,18,C1,464,control,91,640,2nd
RYYGRR,2017,3,28,C1,465,control,110,650,2nd
RYYGRR,2017,7,29,C1,465,control,133,650,2nd
RYYGRR,2017,5,27,C1,464,control,131,640,2nd
RYYGRR,2017,10,13,C1,464,control,133,640,2nd
RYYGRY,2016,10,12,C1,465,control,81,650,3rd
RYYGRY,2017,10,13,C1,464,control,103,640,3rd
RYYGRY,2017,7,29,C1,465,control,105,650,3rd
RYYGRY,2017,3,28,C1,465,control,84,650,3rd
RYYGRY,2016,8,18,C1,464,control,77,640,3rd
RYYGYR,2017,7,29,C1,461,control,107,610,3rd
RYYGYR,2016,10,12,C1,461,control,78,610,3rd
RYYGYR,2016,8,18,C1,463,control,73,630,3rd
RYYGYR,2017,5,27,C1,461,control,100,610,3rd
RYYGYR,2017,3,28,C1,461,control,86,610,3rd
RYYPRR,2017,3,18,E2,424,early,80,240,3rd
RYYPRR,2016,10,13,E2,424,early,75,240,3rd
RYYPRR,2017,7,28,E2,423,early,117,230,3rd
RYYPYB,2017,7,30,C3,503,control,147,1030,1st
RYYPYB,2017,3,20,C3,503,control,120,1030,1st
RYYPYB,2017,10,11,C3,502,control,152,1020,1st
RYYPYY,2017,3,20,C2,499,control,126,990,1st
RYYRBB,2017,7,29,C1,463,control,130,630,2nd
RYYRBB,2017,5,27,C1,463,control,125,630,2nd
RYYRBB,2016,8,18,C1,462,control,87,620,2nd
RYYRBB,2017,3,28,C1,462,control,104,620,2nd
RYYRBB,2017,10,13,C1,462,control,135,620,2nd
RYYRBD,2016,10,12,C1,457,control,103,570,1st
RYYRBD,2016,8,18,C1,458,control,94,580,1st
RYYRBG,2016,8,18,C1,456,control,98,560,1st
RYYRBR,2017,7,29,C1,458,control,150,580,1st
RYYRBR,2017,3,28,C1,457,control,123,570,1st
RYYRBR,2016,8,18,C1,456,control,80,560,1st
RYYRBY,2016,8,18,C1,458,control,85,580,1st
RYYRBY,2017,7,29,C1,459,control,148,590,1st
RYYRDB,2017,7,30,C2,501,control,112,1010,2nd
RYYRDB,2016,8,18,C2,500,control,82,1000,2nd
RYYRDB,2016,10,12,C2,500,control,88,1000,2nd
RYYRDB,2017,5,26,C2,501,control,111,1010,2nd
RYYRDB,2017,3,20,C2,501,control,98,1010,2nd
RYYRDG,2017,10,10,E2,414.5,early,159,145,1st
RYYRDG,2017,7,28,E2,415,early,158,150,1st
RYYRDG,2017,3,19,E2,415,early,115,150,1st
RYYRDG,2016,8,17,E2,415,early,83,150,1st
RYYRDP,2016,10,12,C2,494,control,84,940,2nd
RYYRDP,2016,8,18,C2,493,control,81,930,2nd
RYYRGG,2016,8,17,E2,411,early,82,110,2nd
RYYRGP,2017,5,25,E1,405.5,early,133,55,1st
RYYRGP,2016,10,11,E1,404,early,97,40,1st
RYYRGP,2016,8,17,E2,412,early,93,120,1st
RYYRGY,2016,10,11,E1,407,early,100,70,1st
RYYRGY,2016,8,17,E2,411,early,96,110,1st
RYYRPB,2016,8,18,C3,509,control,104,1090,1st
RYYRPR,2016,8,18,C3,502,control,95,1020,1st
RYYRPY,2016,10,12,C3,509,control,103,1090,1st
RYYRPY,2016,8,18,C3,507,control,91,1070,1st
RYYRPY,2017,10,11,C3,508,control,154,1080,1st
RYYRPY,2017,7,30,C3,507,control,151,1070,1st
RYYRRD,2016,8,17,E2,410,early,97,100,1st
RYYRRG,2016,8,17,E1,408,early,93,80,1st
RYYRRG,2016,10,11,E1,407,early,98,70,1st
RYYRYD,2016,10,11,E2,413,early,102,130,1st
RYYRYD,2016,8,17,E2,414,early,87,140,1st
RYYRYR,2017,7,28,E2,411.5,early,144,115,2nd
RYYRYR,2016,8,17,E2,410,early,79,100,2nd
RYYRYR,2016,10,11,E2,410,early,88,100,2nd
RYYRYR,2017,3,19,E2,410,early,106,100,2nd
RYYRYY,2016,10,11,E2,412,early,80,120,2nd
RYYRYY,2016,8,17,E2,414,early,82,140,2nd
RYYYBG,2016,10,12,C2,492,control,78,920,2nd
RYYYBP,2017,7,30,C2,494,control,149,940,1st
RYYYBP,2016,10,12,C2,494,control,120,940,1st
RYYYBP,2017,5,26,C2,494,control,148,940,1st
RYYYBP,2017,10,11,C2,494,control,150,940,1st
RYYYBR,2017,5,26,L3,477,late,100,770,3rd
RYYYBR,2016,10,11,L3,488,late,83,880,3rd
RYYYBY,2017,3,20,C2,494,control,99,940,2nd
RYYYBY,2017,10,11,C2,494,control,128,940,2nd
RYYYBY,2016,10,12,C2,493,control,89,930,2nd
RYYYBY,2017,7,30,C2,494,control,127,940,2nd
RYYYBY,2017,5,26,C2,493,control,118,930,2nd
RYYYDD,2016,10,11,L3,477,late,103,770,1st
RYYYDG,2016,10,11,L3,476,late,81,760,2nd
RYYYDG,2017,7,31,L3,476.5,late,133,765,2nd
RYYYDP,2017,3,29,L3,476.5,late,77,765,3rd
RYYYDP,2016,10,11,L3,477,late,69,770,3rd
RYYYDP,2017,10,11,L3,480,late,123,800,3rd
RYYYDR,2016,10,11,L3,474,late,78,740,3rd
RYYYDR,2017,3,29,L3,476.5,late,86,765,3rd
RYYYDY,2016,10,11,L3,476,late,93,760,2nd
RYYYDY,2017,3,29,L3,476.5,late,103,765,2nd
RYYYGB,2016,10,11,E1,409,early,81,90,2nd
RYYYGD,2016,10,11,E1,409,early,98,90,1st
RYYYGP,2016,10,11,E1,409,early,93,90,2nd
RYYYGP,2017,7,27,E1,407.5,early,123,75,2nd
RYYYGR,2016,10,11,E1,404,early,72,40,3rd
RYYYGR,2017,7,27,E1,404,early,120,40,3rd
RYYYPR,2017,7,31,L3,478,late,113,780,2nd
RYYYPR,2016,10,11,L3,477,late,88,770,2nd
RYYYPR,2017,10,11,L3,478,late,134,780,2nd
RYYYRB,2017,7,27,E1,404,early,142,40,1st
RYYYRB,2017,5,25,E1,404,early,126,40,1st
RYYYRB,2016,10,11,E1,404,early,94,40,1st
RYYYRB,2017,10,12,E1,404,early,144,40,1st
RYYYRD,2016,10,11,E1,404,early,88,40,2nd
RYYYRP,2016,10,11,E1,404,early,114,40,1st
RYYYRY,2017,5,25,E1,404,early,117,40,2nd
RYYYRY,2016,10,11,E1,404,early,94,40,2nd
RYYYYB,2017,7,31,L3,472,late,135,720,1st
RYYYYB,2017,10,11,L3,479,late,155,790,1st
RYYYYB,2017,3,29,L3,475,late,108,750,1st
RYYYYB,2016,10,11,L3,474,late,94,740,1st
RYYYYP,2016,10,11,L3,474,late,72,740,3rd
