"","id","no","year","month","day","treatment","section","landmark","fork.length_mm","weight_g","mature","cohort","phenotypic.sex","genotypic.sex","sex_merged","distance","cluster"
"226","0RRY",5,2016,5,24,"early ","E1",404,61,3.3,"nd",2016,"nd","nd","nd",40,"2nd"
"227","0RRY",321,2016,10,11,"early ","E1",404,90,9,"0",2016,"nd","nd","nd",40,"2nd"
"228","0RYB",29,2016,5,24,"early ","E2",423,68,4.2,"nd",2016,"nd","nd","nd",230,"2nd"
"229","0RYB",208,2016,8,17,"early ","E2",423,77,4.3,"nd",2016,"nd","nd","nd",230,"2nd"
"230","0RYB",848,2017,10,12,"early ","E2",417.5,122,22.4,"0",2016,"nd","male","male",175,"2nd"
"231","0RYB",545,2017,5,24,"early ","E2",419,102,13.4,"nd",2016,"nd","nd","nd",190,"2nd"
"232","0RYB",445,2016,10,13,"early ","E2",423,77,5.2,"0",2016,"nd","nd","nd",230,"2nd"
"233","0RYD",26,2016,5,24,"early ","E2",420,57,2,"nd",2016,"nd","nd","nd",200,"3rd"
"234","0RYD",851,2017,10,12,"early ","E2",421,118,16.9,"0",2016,"nd","nd","nd",210,"3rd"
"235","0RYD",679,2017,7,28,"early ","E2",421,116,17.9,"nd",2016,"nd","nd","nd",210,"3rd"
"236","0RYG",24,2016,5,24,"early ","E2",420,71,4.1,"nd",2016,"nd","nd","nd",200,"2nd"
"237","0RYG",195,2016,8,17,"early ","E2",420,90,9.8,"nd",2016,"nd","nd","nd",200,"2nd"
"238","0RYG",432,2016,10,13,"early ","E2",419,95,11.8,"0",2016,"nd","nd","nd",190,"2nd"
"239","0RYR",22,2016,5,24,"early ","E2",419,58,2.8,"nd",2016,"nd","nd","nd",190,"3rd"
"240","0RYR",193,2016,8,17,"early ","E2",419,69,4.4,"nd",2016,"nd","nd","nd",190,"3rd"
"241","0RYY",194,2016,8,17,"early ","E2",420,110,18.8,"nd",2016,"nd","nd","nd",200,"1st"
"242","0RYY",25,2016,5,24,"early ","E2",420,70,3.9,"nd",2016,"nd","nd","nd",200,"1st"
"243","0RYY",454,2017,3,18,"early ","E2",420,130,24.7,"nd",2016,"nd","nd","nd",200,"1st"
"244","0RYY",544,2017,5,24,"early ","E2",419,151,36.3,"nd",2016,"nd","nd","nd",190,"1st"
"245","0YBD",154,2016,8,16,"late","L3",474,63,2.9,"nd",2016,"nd","nd","nd",740,"3rd"
"246","0YBG",151,2016,8,16,"late","L3",473,67,3.5,"nd",2016,"nd","nd","nd",730,"3rd"
"247","0YBR",317,2016,10,10,"late","L2",452,72,4.7,"0",2016,"nd","nd","nd",520,"3rd"
"248","0YBR",131,2016,8,15,"late","L2",447,66,3.7,"nd",2016,"nd","nd","nd",470,"3rd"
"249","0YBY",153,2016,8,16,"late","L3",474,56,2.1,"nd",2016,"nd","nd","nd",740,"3rd"
"250","0YBY",629,2017,5,26,"late","L3",476,82,7,"nd",2016,"nd","nd","nd",760,"3rd"
"251","0YBY",762,2017,7,31,"late","L3",476.5,83,6.2,"nd",2016,"nd","nd","nd",765,"3rd"
"252","0YBY",798,2017,10,11,"late","L3",479,87,8,"0",2016,"nd","nd","nd",790,"3rd"
"253","0YDB",122,2016,5,29,"early ","E3",530,60,2.7,"nd",2016,"nd","nd","nd",1300,"1st"
"254","0YDB",749,2017,7,30,"early ","E3",522,162,59.2,"nd",2016,"nd","nd","nd",1220,"1st"
"255","0YDB",184,2016,8,17,"early ","E3",530,82,7,"nd",2016,"nd","nd","nd",1300,"1st"
"256","0YDB",881,2017,10,13,"early ","E3",525,168,58.2,"1",2016,"male","nd","male",1250,"1st"
"257","0YDB",565,2017,5,25,"early ","E3",523,143,38,"nd",2016,"nd","nd","nd",1230,"1st"
"258","0YDD",118,2016,5,28,"control","C3",509,95,10,"nd",2016,"nd","nd","nd",1090,"1st"
"259","0YDG",407,2016,10,12,"control","C3",508,114,16.9,"0",2016,"nd","nd","nd",1080,"1st"
"260","0YDG",116,2016,5,28,"control","C3",508,79,5.3,"nd",2016,"nd","nd","nd",1080,"1st"
"261","0YDP",121,2016,5,29,"early ","E3",527,68,3.5,"nd",2016,"nd","nd","nd",1270,"2nd"
"262","0YDP",183,2016,8,17,"early ","E3",528,77,5,"nd",2016,"nd","nd","nd",1280,"2nd"
"263","0YDR",404,2016,10,12,"control","C3",507,101,11.8,"0",2016,"nd","nd","nd",1070,"1st"
"264","0YDR",830,2017,10,11,"control","C3",507,163,51.3,"1",2016,"female","nd","female",1070,"1st"
"265","0YDR",114,2016,5,28,"control","C3",507,83,7.4,"nd",2016,"nd","nd","nd",1070,"1st"
"266","0YDY",117,2016,5,28,"control","C3",508,70,3.8,"nd",2016,"nd","nd","nd",1080,"2nd"
"267","0YDY",406,2016,10,12,"control","C3",508,95,10.3,"0",2016,"nd","nd","nd",1080,"2nd"
"268","0YGB",104,2016,5,28,"control","C3",502,78,6.4,"nd",2016,"nd","nd","nd",1020,"1st"
"269","0YGD",102,2016,5,28,"control","C2",500,75,4.4,"nd",2016,"nd","nd","nd",1000,"2nd"
"270","0YGG",398,2016,10,12,"control","C2",500,81,6.1,"0",2016,"nd","nd","nd",1000,"2nd"
"271","0YGG",98,2016,5,28,"control","C2",499,74,4.7,"nd",2016,"nd","nd","nd",990,"2nd"
"272","0YGG",823,2017,10,11,"control","C2",500,110,14.6,"0",2016,"nd","female","female",1000,"2nd"
"273","0YGP",829,2017,10,11,"control","C3",504,133,25.8,"1",2016,"female","nd","female",1040,"2nd"
"274","0YGP",745,2017,7,30,"control","C3",504,133,27.8,"nd",2016,"nd","nd","nd",1040,"2nd"
"275","0YGP",500,2017,3,20,"control","C3",505,111,16.6,"nd",2016,"nd","nd","nd",1050,"2nd"
"276","0YGP",403,2016,10,12,"control","C3",503,97,10.8,"0",2016,"nd","nd","nd",1030,"2nd"
"277","0YGP",103,2016,5,28,"control","C3",502,70,4.1,"nd",2016,"nd","nd","nd",1020,"2nd"
"278","0YGR",97,2016,5,28,"control","C2",499,79,5.4,"nd",2016,"nd","nd","nd",990,"1st"
"279","0YGY",101,2016,5,28,"control","C2",500,73,4.2,"nd",2016,"nd","nd","nd",1000,"2nd"
"280","0YPB",493,2017,3,20,"control","C2",500,77,6.3,"nd",2016,"nd","nd","nd",1000,"3rd"
"281","0YPB",272,2016,8,18,"control","C2",500,73,4.4,"nd",2016,"nd","nd","nd",1000,"3rd"
"282","0YPB",610,2017,5,26,"control","C2",500,95,10.2,"nd",2016,"nd","nd","nd",1000,"3rd"
"283","0YPD",221,2016,8,17,"early ","E1",404,68,4,"nd",2016,"nd","nd","nd",40,"3rd"
"284","0YPD",834,2017,10,12,"early ","E1",403,121,23.1,"1",2016,"female","nd","female",30,"3rd"
"285","0YPD",327,2016,10,11,"early ","E1",404,74,5,"0",2016,"nd","nd","nd",40,"3rd"
"286","0YPD",452,2017,3,18,"early ","E1",408,76,6.3,"nd",2016,"nd","nd","nd",80,"3rd"
"287","0YPD",658,2017,7,27,"early ","E1",402,118,27.1,"nd",2016,"nd","nd","nd",20,"3rd"
"288","0YPG",192,2016,8,17,"early ","E2",419,64,3.1,"nd",2016,"nd","nd","nd",190,"3rd"
"289","0YPP",225,2016,8,17,"early ","E1",407,71,4.2,"nd",2016,"nd","nd","nd",70,"2nd"
"290","0YPP",333,2016,10,11,"early ","E1",409,86,5.1,"0",2016,"nd","nd","nd",90,"2nd"
"291","0YPR",808,2017,10,11,"late","L3",488,126,23.5,"0",2016,"nd","male","male",880,"3rd"
"292","0YPR",175,2016,8,16,"late","L3",488,65,3.4,"nd",2016,"nd","nd","nd",880,"3rd"
"293","0YPY",549,2017,5,24,"early ","E2",420,112,17.1,"nd",2016,"nd","nd","nd",200,"2nd"
"294","0YPY",198,2016,8,17,"early ","E2",420,68,4,"nd",2016,"nd","nd","nd",200,"2nd"
"295","0YPY",677,2017,7,28,"early ","E2",419,147,41.4,"nd",2016,"nd","nd","nd",190,"2nd"
"296","0YPY",456,2017,3,18,"early ","E2",420,83,6.5,"nd",2016,"nd","nd","nd",200,"2nd"
"297","0YRB",738,2017,7,30,"control","C2",500,143,29.4,"nd",2016,"nd","nd","nd",1000,"1st"
"298","0YRB",822,2017,10,11,"control","C2",500,142,27,"0",2016,"nd","male","male",1000,"1st"
"299","0YRB",96,2016,5,28,"control","C2",499,77,5.1,"nd",2016,"nd","nd","nd",990,"1st"
"300","0YRB",611,2017,5,26,"control","C2",501,137,29.3,"nd",2016,"nd","nd","nd",1010,"1st"
"301","0YRB",400,2016,10,12,"control","C2",500,88,7.3,"0",2016,"nd","nd","nd",1000,"1st"
"302","0YRD",392,2016,10,12,"control","C2",499,84,6.5,"0",2016,"nd","nd","nd",990,"2nd"
"303","0YRD",252,2016,8,18,"control","C2",499,77,5.4,"nd",2016,"nd","nd","nd",990,"2nd"
"304","0YRD",94,2016,5,28,"control","C2",498,69,3.7,"nd",2016,"nd","nd","nd",980,"2nd"
"305","0YRG",384,2016,10,12,"control","C2",497,85,6.9,"0",2016,"nd","nd","nd",970,"2nd"
"306","0YRG",599,2017,5,26,"control","C2",497,109,15.9,"nd",2016,"nd","nd","nd",970,"2nd"
"307","0YRG",732,2017,7,30,"control","C2",497.5,113,16.4,"nd",2016,"nd","nd","nd",975,"2nd"
"308","0YRG",484,2017,3,20,"control","C2",497,91,7.7,"nd",2016,"nd","nd","nd",970,"2nd"
"309","0YRG",92,2016,5,28,"control","C2",497,78,5.6,"nd",2016,"nd","nd","nd",970,"2nd"
"310","0YRG",819,2017,10,11,"control","C2",497,114,15.5,"0",2016,"nd","male","male",970,"2nd"
"311","0YRP",95,2016,5,28,"control","C2",498,81,6.1,"nd",2016,"nd","nd","nd",980,"1st"
"312","0YRR",383,2016,10,12,"control","C2",496,94,10.1,"0",2016,"nd","nd","nd",960,"1st"
"313","0YRR",818,2017,10,11,"control","C2",496,145,36.3,"1",2016,"female","nd","female",960,"1st"
"314","0YRR",598,2017,5,26,"control","C2",496,132,29.6,"nd",2016,"nd","nd","nd",960,"1st"
"315","0YRR",485,2017,3,20,"control","C2",497,110,16.6,"nd",2016,"nd","nd","nd",970,"1st"
"316","0YRR",91,2016,5,28,"control","C2",496,75,6,"nd",2016,"nd","nd","nd",960,"1st"
"317","0YRY",489,2017,3,20,"control","C2",499,117,19.7,"nd",2016,"nd","nd","nd",990,"1st"
"318","0YRY",603,2017,5,26,"control","C2",499,153,36.4,"nd",2016,"nd","nd","nd",990,"1st"
"319","0YRY",93,2016,5,28,"control","C2",498,81,5.3,"nd",2016,"nd","nd","nd",980,"1st"
"320","0YRY",389,2016,10,12,"control","C2",498,95,9.6,"0",2016,"nd","nd","nd",980,"1st"
"321","0YRY",251,2016,8,18,"control","C2",498,88,8.1,"nd",2016,"nd","nd","nd",980,"1st"
"322","0YRY",735,2017,7,30,"control","C2",499,149,36.7,"nd",2016,"nd","nd","nd",990,"1st"
"323","0YYB",502,2017,3,20,"control","C3",507,111,16.8,"nd",2016,"nd","nd","nd",1070,"2nd"
"324","0YYB",113,2016,5,28,"control","C3",507,75,5.7,"nd",2016,"nd","nd","nd",1070,"2nd"
"325","0YYB",405,2016,10,12,"control","C3",507,90,8.5,"0",2016,"nd","nd","nd",1070,"2nd"
"326","0YYB",259,2016,8,18,"control","C3",507,83,6.9,"nd",2016,"nd","nd","nd",1070,"2nd"
"327","0YYD",615,2017,5,26,"control","C3",506,160,48.8,"nd",2016,"nd","nd","nd",1060,"1st"
"328","0YYD",258,2016,8,18,"control","C3",504,98,11.5,"nd",2016,"nd","nd","nd",1040,"1st"
"329","0YYD",111,2016,5,28,"control","C3",504,85,6.6,"nd",2016,"nd","nd","nd",1040,"1st"
"330","0YYD",501,2017,3,20,"control","C3",506,139,31.3,"nd",2016,"nd","nd","nd",1060,"1st"
"331","0YYD",828,2017,10,11,"control","C3",504,182,72.4,"1",2016,"female","nd","female",1040,"1st"
"332","0YYG",497,2017,3,20,"control","C3",502,118,23.6,"nd",2016,"nd","nd","nd",1020,"2nd"
"333","0YYG",108,2016,5,28,"control","C3",503,71,4.9,"nd",2016,"nd","nd","nd",1030,"2nd"
"334","0YYG",274,2016,8,18,"control","C3",503,81,6.7,"nd",2016,"nd","nd","nd",1030,"2nd"
"335","0YYP",744,2017,7,30,"control","C3",504,134,23.1,"nd",2016,"nd","nd","nd",1040,"2nd"
"336","0YYP",112,2016,5,28,"control","C3",505,71,3.7,"nd",2016,"nd","nd","nd",1050,"2nd"
"337","0YYR",105,2016,5,28,"control","C3",502,64,2.9,"nd",2016,"nd","nd","nd",1020,"3rd"
"338","0YYR",499,2017,3,20,"control","C3",505,83,8.3,"nd",2016,"nd","nd","nd",1050,"3rd"
"339","0YYY",110,2016,5,28,"control","C3",504,68,3.9,"nd",2016,"nd","nd","nd",1040,"2nd"
"340","BBBB",257,2016,8,18,"control","C3",503,124,22.9,"nd",2016,"nd","nd","nd",1030,"1st"
"341","BBBB",106,2016,5,28,"control","C3",503,88,8.1,"nd",2016,"nd","nd","nd",1030,"1st"
"342","BPBB",100,2016,5,28,"control","C2",500,88,7.6,"nd",2016,"nd","nd","nd",1000,"1st"
"343","BPBB",270,2016,8,18,"control","C2",500,94,9.2,"nd",2016,"nd","nd","nd",1000,"1st"
"344","BPBB",609,2017,5,26,"control","C2",500,142,34,"nd",2016,"nd","nd","nd",1000,"1st"
"345","BPBB",395,2016,10,12,"control","C2",500,103,12.1,"0",2016,"nd","nd","nd",1000,"1st"
"346","BPBP",269,2016,8,18,"control","C2",500,99,11.3,"nd",2016,"nd","nd","nd",1000,"1st"
"347","BPBP",99,2016,5,28,"control","C2",500,94,9.6,"nd",2016,"nd","nd","nd",1000,"1st"
"348","BPPPBB",844,2017,10,12,"early ","E1",409,166,47.9,"1",2016,"male","nd","male",90,"1st"
"349","BPPPBB",586,2017,5,25,"early ","E1",409,159,43.7,"nd",2016,"nd","nd","nd",90,"1st"
"350","BPPPBB",668,2017,7,27,"early ","E1",409,165,52.6,"nd",2016,"nd","nd","nd",90,"1st"
"351","BPPPBB",347,2016,10,11,"early ","E2",414,146,41.6,"1",2016,"male","nd","male",140,"1st"
"352","BPPPPB",344,2016,10,11,"early ","E2",412,83,6.7,"0",2016,"nd","nd","nd",120,"2nd"
"353","BPPPPB",471,2017,3,19,"early ","E2",412,87,8.8,"nd",2016,"nd","nd","nd",120,"2nd"
"354","BPPPPB",670,2017,7,28,"early ","E2",410,128,28.6,"nd",2016,"nd","nd","nd",100,"2nd"
"355","BPPPPP",342,2016,10,11,"early ","E2",412,98,10.3,"0",2016,"nd","nd","nd",120,"1st"
"356","PBBB",86,2016,5,28,"control","C2",494,82,7.4,"nd",2016,"nd","nd","nd",940,"2nd"
"357","PBBB",249,2016,8,18,"control","C2",494,83,6.4,"nd",2016,"nd","nd","nd",940,"2nd"
"358","PBBB",377,2016,10,12,"control","C2",494,86,7,"0",2016,"nd","nd","nd",940,"2nd"
"359","PBBB",810,2017,10,11,"control","C2",494,133,25.5,"0",2016,"nd","female","female",940,"2nd"
"360","PBBB",590,2017,5,26,"control","C2",493,120,22.5,"nd",2016,"nd","nd","nd",930,"2nd"
"361","PBBP",85,2016,5,28,"control","C2",493,89,7.7,"nd",2016,"nd","nd","nd",930,"1st"
"362","PBBP",730,2017,7,30,"control","C2",494,138,28.4,"nd",2016,"nd","nd","nd",940,"1st"
"363","PBBP",815,2017,10,11,"control","C2",494,139,28.2,"0",2016,"nd","nd","nd",940,"1st"
"364","PBBP",596,2017,5,26,"control","C2",494,139,29,"nd",2016,"nd","nd","nd",940,"1st"
"365","PBPB",82,2016,5,28,"control","C2",492,90,9,"nd",2016,"nd","nd","nd",920,"1st"
"366","PBPB",872,2017,10,13,"control","C1",468,133,29.2,"0",2016,"nd","female","female",680,"1st"
"367","PBPB",375,2016,10,12,"control","C2",494,96,12.3,"0",2016,"nd","nd","nd",940,"1st"
"368","PBPB",244,2016,8,18,"control","C2",492,94,11,"nd",2016,"nd","nd","nd",920,"1st"
"369","PBPB",722,2017,7,29,"control","C1",468,124,24.6,"nd",2016,"nd","nd","nd",680,"1st"
"370","PBPB",653,2017,5,27,"control","C1",468,120,21.9,"nd",2016,"nd","nd","nd",680,"1st"
"371","PBPP",368,2016,10,11,"late","L3",489,112,17.8,"0",2016,"nd","nd","nd",890,"1st"
"372","PBPP",764,2017,7,31,"late","L3",481,153,38.4,"nd",2016,"nd","nd","nd",810,"1st"
"373","PBPP",177,2016,8,16,"late","L3",489,101,12.1,"nd",2016,"nd","nd","nd",890,"1st"
"374","PBPP",80,2016,5,27,"late","L3",489,84,7.1,"nd",2016,"nd","nd","nd",890,"1st"
"375","PBPP",537,2017,3,29,"late","L3",489,125,20.5,"nd",2016,"nd","nd","nd",890,"1st"
"376","PBPPBB",299,2016,10,10,"early ","E3",523,116,18.4,"1",2016,"male","nd","male",1230,"1st"
"377","PBPPBB",120,2016,5,29,"early ","E3",523,91,10,"nd",2016,"nd","nd","nd",1230,"1st"
"378","PBPPBB",178,2016,8,17,"early ","E3",522,110,16.6,"nd",2016,"nd","nd","nd",1220,"1st"
"379","PBPPPB",750,2017,7,30,"early ","E3",525,170,59.7,"nd",2016,"nd","nd","nd",1250,"1st"
"380","PBPPPB",186,2016,8,17,"early ","E3",525,101,12.1,"nd",2016,"nd","nd","nd",1250,"1st"
"381","PBPPPB",566,2017,5,25,"early ","E3",525,146,38.7,"nd",2016,"nd","nd","nd",1250,"1st"
"382","PBPPPB",300,2016,10,10,"early ","E3",525,102,12,"0",2016,"nd","nd","nd",1250,"1st"
"383","PBPPPB",119,2016,5,29,"early ","E3",521,87,7.3,"nd",2016,"nd","nd","nd",1210,"1st"
"384","PPBPBP",115,2016,5,28,"control","C3",508,89,8.4,"nd",2016,"nd","nd","nd",1080,"1st"
"385","PPBPBP",260,2016,8,18,"control","C3",508,100,11.7,"nd",2016,"nd","nd","nd",1080,"1st"
"386","PPPB",167,2016,8,16,"late","L3",482,101,11.9,"nd",2016,"nd","nd","nd",820,"1st"
"387","PPPB",804,2017,10,11,"late","L3",485,172,61.7,"1",2016,"male","nd","male",850,"1st"
"388","PPPB",75,2016,5,27,"late","L3",482,85,7.1,"nd",2016,"nd","nd","nd",820,"1st"
"389","PPPPPB",109,2016,5,28,"control","C3",504,98,13.2,"nd",2016,"nd","nd","nd",1040,"1st"
"390","PPPPPP",477,2017,3,20,"control","C2",492,104,14,"nd",2016,"nd","nd","nd",920,"2nd"
"391","PPPPPP",107,2016,5,28,"control","C3",503,83,6.3,"nd",2016,"nd","nd","nd",1030,"2nd"
"392","PPPPPP",592,2017,5,26,"control","C2",493,122,21.4,"nd",2016,"nd","nd","nd",930,"2nd"
"393","RGDDDD",689,2017,7,28,"late","L1",433,137,29.6,"nd",2016,"nd","nd","nd",330,"1st"
"394","RGDDDD",38,2016,5,25,"late","L1",433,87,7.9,"nd",2016,"nd","nd","nd",330,"1st"
"395","RGDDDD",554,2017,5,24,"late","L1",433,135,30.1,"nd",2016,"nd","nd","nd",330,"1st"
"396","RGDDDG",790,2017,10,10,"early ","E2",414.5,159,45.1,"1",2016,"female","nd","female",145,"1st"
"397","RGDDDG",207,2016,8,17,"early ","E2",423,96,10.4,"nd",2016,"nd","nd","nd",230,"1st"
"398","RGDDDG",439,2016,10,13,"early ","E2",422,98,10.4,"0",2016,"nd","nd","nd",220,"1st"
"399","RGDDDG",28,2016,5,24,"early ","E2",423,83,6.7,"nd",2016,"nd","nd","nd",230,"1st"
"400","RGDDDY",143,2016,8,16,"late","L1",431,95,9.9,"nd",2016,"nd","nd","nd",310,"1st"
"401","RGDDDY",36,2016,5,25,"late","L1",431,83,6.9,"nd",2016,"nd","nd","nd",310,"1st"
"402","RGDDGD",191,2016,8,17,"early ","E2",419,107,13.6,"nd",2016,"nd","nd","nd",190,"1st"
"403","RGDDGD",23,2016,5,24,"early ","E2",419,87,7.5,"nd",2016,"nd","nd","nd",190,"1st"
"404","RGDDRG",242,2016,8,17,"early ","E2",415,122,22.3,"nd",2016,"nd","nd","nd",150,"1st"
"405","RGDDRG",20,2016,5,24,"early ","E2",417,91,10.2,"nd",2016,"nd","nd","nd",170,"1st"
"406","RGDDRG",577,2017,5,25,"early ","E1",408,162,45.4,"nd",2016,"nd","nd","nd",80,"1st"
"407","RGDDYD",27,2016,5,24,"early ","E2",421,82,7.4,"nd",2016,"nd","nd","nd",210,"1st"
"408","RGDGDD",1,2016,5,24,"early ","E1",401,82,7.1,"nd",2016,"nd","nd","nd",10,"1st"
"409","RGDGDD",660,2017,7,27,"early ","E1",403,165,58,"nd",2016,"nd","nd","nd",30,"1st"
"410","RGDGDD",570,2017,5,25,"early ","E1",402,153,46.1,"nd",2016,"nd","nd","nd",20,"1st"
"411","RGDGDD",214,2016,8,17,"early ","E1",402,106,16.7,"nd",2016,"nd","nd","nd",20,"1st"
"412","RGDGDD",449,2017,3,18,"early ","E1",402,132,29.9,"nd",2016,"nd","nd","nd",20,"1st"
"413","RGDGDD",318,2016,10,11,"early ","E1",402,112,18.9,"0",2016,"nd","nd","nd",20,"1st"
"414","RGDGDD",833,2017,10,12,"early ","E1",403,173,65.4,"1",2016,"male","nd","male",30,"1st"
"415","RGDYDY",17,2016,5,24,"early ","E2",412,85,8.5,"nd",2016,"nd","nd","nd",120,"1st"
"416","RGDYGD",12,2016,5,24,"early ","E1",409,80,6.5,"nd",2016,"nd","nd","nd",90,"1st"
"417","RGDYGD",227,2016,8,17,"early ","E1",409,86,6.8,"nd",2016,"nd","nd","nd",90,"1st"
"418","RGDYRD",218,2016,8,17,"early ","E1",404,100,12.8,"nd",2016,"nd","nd","nd",40,"1st"
"419","RGDYRD",8,2016,5,24,"early ","E1",404,81,6.1,"nd",2016,"nd","nd","nd",40,"1st"
"420","RGDYRD",326,2016,10,11,"early ","E1",404,109,14.9,"0",2016,"nd","nd","nd",40,"1st"
"421","RGDYRG",3,2016,5,24,"early ","E1",404,78,6.4,"nd",2016,"nd","nd","nd",40,"2nd"
"422","RGDYRG",219,2016,8,17,"early ","E1",404,85,7.8,"nd",2016,"nd","nd","nd",40,"2nd"
"423","RGDYRY",319,2016,10,11,"early ","E1",402,103,14.3,"0",2016,"nd","nd","nd",20,"1st"
"424","RGDYRY",661,2017,7,27,"early ","E1",403,135,30,"nd",2016,"nd","nd","nd",30,"1st"
"425","RGDYRY",836,2017,10,12,"early ","E1",403,133,22.8,"1",2016,"female","nd","female",30,"1st"
"426","RGDYRY",215,2016,8,17,"early ","E1",402,102,12.7,"nd",2016,"nd","nd","nd",20,"1st"
"427","RGDYRY",6,2016,5,24,"early ","E1",404,85,6.7,"nd",2016,"nd","nd","nd",40,"1st"
"428","RGDYRY",571,2017,5,25,"early ","E1",402,149,25.5,"nd",2016,"nd","nd","nd",20,"1st"
"429","RGDYRY",448,2017,3,18,"early ","E1",402,117,20,"nd",2016,"nd","nd","nd",20,"1st"
"430","RGDYYR",341,2016,10,11,"early ","E2",412,116,19.4,"0",2016,"nd","nd","nd",120,"1st"
"431","RGDYYR",233,2016,8,17,"early ","E2",410,110,15.5,"nd",2016,"nd","nd","nd",100,"1st"
"432","RGDYYR",14,2016,5,24,"early ","E2",410,89,8.6,"nd",2016,"nd","nd","nd",100,"1st"
"433","RRY",7,2016,5,24,"early ","E1",404,68,4.5,"nd",2016,"nd","nd","nd",40,"2nd"
"434","RYDDBD",880,2017,10,13,"early ","E3",525,139,30.2,"1",2016,"male","nd","male",1250,"2nd"
"435","RYDDBP",885,2017,10,13,"early ","E3",530,102,11.2,"0",2016,"nd","nd","nd",1300,"3rd"
"436","RYDDBR",878,2017,10,13,"control","C1",469,100,11.7,"0",2016,"nd","nd","nd",690,"3rd"
"437","RYDDBY",879,2017,10,13,"early ","E3",521,156,49.8,"1",2016,"male","nd","male",1210,"1st"
"438","RYDDPD",853,2017,10,12,"early ","E2",421,114,17.5,"0",2016,"nd","nd","nd",210,"3rd"
"439","RYDDPG",847,2017,10,12,"early ","E2",416,148,44.1,"1",2016,"female","nd","female",160,"1st"
"440","RYDDPP",856,2017,10,12,"early ","E2",422.5,124,19.6,"0",2016,"nd","nd","nd",225,"2nd"
"441","RYDDPY",850,2017,10,12,"early ","E2",420,98,10.9,"0",2016,"nd","nd","nd",200,"3rd"
"442","RYDDYD",802,2017,10,11,"late","L3",480,100,12.4,"0",2016,"nd","nd","nd",800,"3rd"
"443","RYDDYG",794,2017,10,11,"late","L3",477,101,12.9,"0",2016,"nd","nd","nd",770,"3rd"
"444","RYDDYP",806,2017,10,11,"late","L3",485,143,44.6,"1",2016,"male","nd","male",850,"1st"
"445","RYDRGG",628,2017,5,26,"late","L3",487,105,12.2,"nd",2016,"nd","nd","nd",870,"3rd"
"446","RYDRGY",630,2017,5,27,"late","L2",441,122,21.7,"nd",2016,"nd","nd","nd",410,"2nd"
