"","id","no","year","month","day","treatment","section","landmark","fork.length_mm","weight_g","mature","cohort","phenotypic.sex","genotypic.sex","sex_merged","distance","cluster"
"447","RYDRRB",623,2017,5,26,"late","L3",480,128,31.2,"nd",2016,"nd","nd","nd",800,"1st"
"448","RYDRRD",614,2017,5,26,"control","C3",505,158,46.3,"nd",2016,"nd","nd","nd",1050,"1st"
"449","RYDRRG",593,2017,5,26,"control","C2",494,114,16.6,"nd",2016,"nd","nd","nd",940,"2nd"
"450","RYDRRR",585,2017,5,25,"early ","E1",408,136,26.1,"nd",2016,"nd","nd","nd",80,"2nd"
"451","RYDRRR",845,2017,10,12,"early ","E1",409,134,26.2,"0",2016,"nd","nd","nd",90,"2nd"
"452","RYDRRR",669,2017,7,27,"early ","E1",409,134,31.3,"nd",2016,"nd","nd","nd",90,"2nd"
"453","RYDRYD",647,2017,5,27,"control","C1",464,119,20.6,"nd",2016,"nd","nd","nd",640,"2nd"
"454","RYDRYP",651,2017,5,27,"control","C1",467,135,36.7,"nd",2016,"nd","nd","nd",670,"1st"
"455","RYDRYP",871,2017,10,13,"control","C1",468,156,51.4,"1",2016,"male","nd","male",680,"1st"
"456","RYDRYY",645,2017,5,27,"control","C1",461,116,21.9,"nd",2016,"nd","nd","nd",610,"2nd"
"457","RYDRYY",721,2017,7,29,"control","C1",466,119,23.7,"nd",2016,"nd","nd","nd",660,"2nd"
"458","RYDRYY",865,2017,10,13,"control","C1",464,120,23,"0",2016,"nd","nd","nd",640,"2nd"
"459","RYDYBP",784,2017,10,10,"late","L2",443,118,20.5,"0",2016,"nd","nd","nd",430,"2nd"
"460","RYDYBY",782,2017,10,10,"late","L1",440,114,17.7,"0",2016,"nd","nd","nd",400,"3rd"
"461","RYDYGB",751,2017,7,30,"early ","E3",529,98,11.3,"nd",2016,"nd","nd","nd",1290,"3rd"
"462","RYDYGB",883,2017,10,13,"early ","E3",529,104,11.5,"0",2016,"nd","nd","nd",1290,"3rd"
"463","RYDYPG",768,2017,7,31,"late","L3",486.5,113,17.1,"nd",2016,"nd","nd","nd",865,"2nd"
"464","RYDYPG",807,2017,10,11,"late","L3",485,126,23,"0",2016,"nd","female","female",850,"2nd"
"465","RYDYYG",882,2017,10,13,"early ","E3",528,107,13.5,"0",2016,"nd","nd","nd",1280,"3rd"
"466","RYDYYG",753,2017,7,30,"early ","E3",530,100,10.8,"nd",2016,"nd","nd","nd",1300,"3rd"
"467","RYDYYR",884,2017,10,13,"early ","E3",529,122,22.4,"1",2016,"male","nd","male",1290,"2nd"
"468","RYDYYR",752,2017,7,30,"early ","E3",529,112,18.9,"nd",2016,"nd","nd","nd",1290,"2nd"
"469","RYRBBD",267,2016,8,18,"control","C2",499,90,7.8,"nd",2016,"nd","nd","nd",990,"2nd"
"470","RYRBBD",391,2016,10,12,"control","C2",499,93,9,"0",2016,"nd","nd","nd",990,"2nd"
"471","RYRBBD",604,2017,5,26,"control","C2",499,119,20.7,"nd",2016,"nd","nd","nd",990,"2nd"
"472","RYRBBG",264,2016,8,18,"control","C2",495,80,5.8,"nd",2016,"nd","nd","nd",950,"2nd"
"473","RYRBBP",268,2016,8,18,"control","C2",499,91,8.9,"nd",2016,"nd","nd","nd",990,"2nd"
"474","RYRBBP",491,2017,3,20,"control","C2",499,111,18.8,"nd",2016,"nd","nd","nd",990,"2nd"
"475","RYRBBP",602,2017,5,26,"control","C2",499,129,25.7,"nd",2016,"nd","nd","nd",990,"2nd"
"476","RYRBBP",736,2017,7,30,"control","C2",499,131,26.7,"nd",2016,"nd","nd","nd",990,"2nd"
"477","RYRBBR",378,2016,10,12,"control","C2",494,101,10.9,"0",2016,"nd","nd","nd",940,"1st"
"478","RYRBBR",816,2017,10,11,"control","C2",494,127,21.4,"0",2016,"nd","male","male",940,"1st"
"479","RYRBBR",482,2017,3,20,"control","C2",495,108,16.1,"nd",2016,"nd","nd","nd",950,"1st"
"480","RYRBBR",263,2016,8,18,"control","C2",494,93,9.2,"nd",2016,"nd","nd","nd",940,"1st"
"481","RYRBBY",265,2016,8,18,"control","C2",496,72,5.3,"nd",2016,"nd","nd","nd",960,"2nd"
"482","RYRBBY",809,2017,10,11,"control","C2",493,126,21.7,"0",2016,"nd","female","female",930,"2nd"
"483","RYRBBY",483,2017,3,20,"control","C2",496,109,16.6,"nd",2016,"nd","nd","nd",960,"2nd"
"484","RYRBBY",388,2016,10,12,"control","C2",497,76,5.6,"0",2016,"nd","nd","nd",970,"2nd"
"485","RYRBDB",605,2017,5,26,"control","C2",499,120,19.3,"nd",2016,"nd","nd","nd",990,"2nd"
"486","RYRBDB",825,2017,10,11,"control","C2",501,123,19.4,"0",2016,"nd","nd","nd",1010,"2nd"
"487","RYRBDB",253,2016,8,18,"control","C2",499,74,4.6,"nd",2016,"nd","nd","nd",990,"2nd"
"488","RYRBDG",246,2016,8,18,"control","C2",492,87,7.4,"nd",2016,"nd","nd","nd",920,"2nd"
"489","RYRBDG",588,2017,5,26,"control","C2",493,119,20.2,"nd",2016,"nd","nd","nd",930,"2nd"
"490","RYRBDP",250,2016,8,18,"control","C2",497,83,6.5,"nd",2016,"nd","nd","nd",970,"2nd"
"491","RYRBDP",737,2017,7,30,"control","C2",499,136,28.4,"nd",2016,"nd","nd","nd",990,"2nd"
"492","RYRBDP",601,2017,5,26,"control","C2",499,129,28.2,"nd",2016,"nd","nd","nd",990,"2nd"
"493","RYRBDR",245,2016,8,18,"control","C2",492,104,11.9,"nd",2016,"nd","nd","nd",920,"1st"
"494","RYRBGB",212,2016,8,17,"early ","E2",417,85,7.7,"nd",2016,"nd","nd","nd",170,"2nd"
"495","RYRBGD",331,2016,10,11,"early ","E1",404,89,8.1,"0",2016,"nd","nd","nd",40,"1st"
"496","RYRBGD",659,2017,7,27,"early ","E1",403,151,50.2,"nd",2016,"nd","nd","nd",30,"1st"
"497","RYRBGD",217,2016,8,17,"early ","E1",402,87,6.9,"nd",2016,"nd","nd","nd",20,"1st"
"498","RYRBGD",582,2017,5,25,"early ","E1",402,132,28.6,"nd",2016,"nd","nd","nd",20,"1st"
"499","RYRBGD",835,2017,10,12,"early ","E1",403,163,51.8,"0",2016,"nd","female","female",30,"1st"
"500","RYRBGP",222,2016,8,17,"early ","E1",406,100,13.5,"nd",2016,"nd","nd","nd",60,"1st"
"501","RYRBGY",216,2016,8,17,"early ","E1",402,86,9.7,"nd",2016,"nd","nd","nd",20,"2nd"
"502","RYRBPB",262,2016,8,18,"control","C2",492,96,11.4,"nd",2016,"nd","nd","nd",920,"1st"
"503","RYRBPD",503,2017,3,20,"control","C3",509,107,14.9,"nd",2016,"nd","nd","nd",1090,"2nd"
"504","RYRBPD",747,2017,7,30,"control","C3",509,140,28.5,"nd",2016,"nd","nd","nd",1090,"2nd"
"505","RYRBPD",261,2016,8,18,"control","C3",509,87,7.5,"nd",2016,"nd","nd","nd",1090,"2nd"
"506","RYRBPD",832,2017,10,11,"control","C3",509,140,26.9,"0",2016,"nd","nd","nd",1090,"2nd"
"507","RYRBPG",256,2016,8,18,"control","C2",501,73,5,"nd",2016,"nd","nd","nd",1010,"2nd"
"508","RYRBPG",487,2017,3,20,"control","C2",499,93,10.6,"nd",2016,"nd","nd","nd",990,"2nd"
"509","RYRBPG",608,2017,5,26,"control","C2",499,119,21.7,"nd",2016,"nd","nd","nd",990,"2nd"
"510","RYRBPG",394,2016,10,12,"control","C2",499,78,5.4,"0",2016,"nd","nd","nd",990,"2nd"
"511","RYRBPG",740,2017,7,30,"control","C2",501,122,20.5,"nd",2016,"nd","nd","nd",1010,"2nd"
"512","RYRBPR",371,2016,10,12,"control","C2",493,106,15,"0",2016,"nd","nd","nd",930,"1st"
"513","RYRBPR",587,2017,5,26,"control","C2",492,128,27.6,"nd",2016,"nd","nd","nd",920,"1st"
"514","RYRBPR",254,2016,8,18,"control","C2",500,93,10.4,"nd",2016,"nd","nd","nd",1000,"1st"
"515","RYRBRD",685,2017,7,28,"early ","E2",424,130,26.2,"nd",2016,"nd","nd","nd",240,"1st"
"516","RYRBRD",460,2017,3,18,"early ","E2",424,112,15.2,"nd",2016,"nd","nd","nd",240,"1st"
"517","RYRBRD",857,2017,10,12,"early ","E2",424,132,23.3,"0",2016,"nd","nd","nd",240,"1st"
"518","RYRBRD",211,2016,8,17,"early ","E2",424,101,13.9,"nd",2016,"nd","nd","nd",240,"1st"
"519","RYRBRR",210,2016,8,17,"early ","E2",423,91,9,"nd",2016,"nd","nd","nd",230,"1st"
"520","RYRBYD",229,2016,8,17,"early ","E1",406,94,11.3,"nd",2016,"nd","nd","nd",60,"1st"
"521","RYRBYP",243,2016,8,18,"control","C2",490,81,6.3,"nd",2016,"nd","nd","nd",900,"2nd"
"522","RYRBYR",666,2017,7,27,"early ","E1",407.5,111,16.4,"nd",2016,"nd","nd","nd",75,"2nd"
"523","RYRBYR",226,2016,8,17,"early ","E1",408,88,7.9,"nd",2016,"nd","nd","nd",80,"2nd"
"524","RYRBYR",581,2017,5,25,"early ","E1",409,107,12.3,"nd",2016,"nd","nd","nd",90,"2nd"
"525","RYRBYR",841,2017,10,12,"early ","E1",407,112,14.5,"0",2016,"nd","nd","nd",70,"2nd"
"526","RYRBYY",228,2016,8,17,"early ","E1",404,101,12.2,"nd",2016,"nd","nd","nd",40,"1st"
"527","RYRDDD",364,2016,10,11,"late","L3",484,75,7.2,"0",2016,"nd","nd","nd",840,"3rd"
"528","RYRDDD",168,2016,8,16,"late","L3",482,71,4.1,"nd",2016,"nd","nd","nd",820,"3rd"
"529","RYRDGB",158,2016,8,16,"late","L3",476,78,5.2,"nd",2016,"nd","nd","nd",760,"2nd"
"530","RYRDGB",527,2017,3,29,"late","L3",475,100,11.1,"nd",2016,"nd","nd","nd",750,"2nd"
"531","RYRDGB",355,2016,10,11,"late","L3",476,82,8.2,"0",2016,"nd","nd","nd",760,"2nd"
"532","RYRDGD",150,2016,8,16,"late","L3",473,76,5.3,"nd",2016,"nd","nd","nd",730,"3rd"
"533","RYRDGP",618,2017,5,26,"late","L3",475,141,34.8,"nd",2016,"nd","nd","nd",750,"1st"
"534","RYRDGP",354,2016,10,11,"late","L3",475,96,14,"0",2016,"nd","nd","nd",750,"1st"
"535","RYRDGP",156,2016,8,16,"late","L3",475,86,8.6,"nd",2016,"nd","nd","nd",750,"1st"
"536","RYRDGP",792,2017,10,11,"late","L3",477,173,67.7,"1",2016,"female","nd","female",770,"1st"
"537","RYRDGP",757,2017,7,31,"late","L3",474,147,35.8,"nd",2016,"nd","nd","nd",740,"1st"
"538","RYRDGY",149,2016,8,16,"late","L3",473,78,5.8,"nd",2016,"nd","nd","nd",730,"2nd"
"539","RYRDPG",624,2017,5,26,"late","L3",484,162,57.1,"nd",2016,"nd","nd","nd",840,"1st"
"540","RYRDPG",767,2017,7,31,"late","L3",485,176,71.1,"nd",2016,"nd","nd","nd",850,"1st"
"541","RYRDPG",170,2016,8,16,"late","L3",483,98,11.1,"nd",2016,"nd","nd","nd",830,"1st"
"542","RYRDPG",805,2017,10,11,"late","L3",485,193,92.1,"1",2016,"male","nd","male",850,"1st"
"543","RYRDPP",365,2016,10,11,"late","L3",484,112,19.6,"0",2016,"nd","nd","nd",840,"1st"
"544","RYRDPP",171,2016,8,16,"late","L3",484,80,6.3,"nd",2016,"nd","nd","nd",840,"1st"
"545","RYRDPP",536,2017,3,29,"late","L3",484.5,131,24.7,"nd",2016,"nd","nd","nd",845,"1st"
"546","RYRDPP",803,2017,10,11,"late","L3",483,195,93.6,"1",2016,"male","nd","male",830,"1st"
"547","RYRDPR",765,2017,7,31,"late","L3",483,133,30.1,"nd",2016,"nd","nd","nd",830,"1st"
"548","RYRDPR",801,2017,10,11,"late","L3",480,153,49.4,"1",2016,"male","nd","male",800,"1st"
"549","RYRDPR",169,2016,8,16,"late","L3",483,95,10.4,"nd",2016,"nd","nd","nd",830,"1st"
"550","RYRDRB",148,2016,8,16,"late","L1",439,80,6.1,"nd",2016,"nd","nd","nd",390,"2nd"
"551","RYRDRB",468,2017,3,19,"late","L1",438,91,10.7,"nd",2016,"nd","nd","nd",380,"2nd"
"552","RYRDRD",145,2016,8,16,"late","L1",435,86,7.5,"nd",2016,"nd","nd","nd",350,"1st"
"553","RYRDRD",777,2017,10,10,"late","L1",436,155,47.7,"1",2016,"female","nd","female",360,"1st"
"554","RYRDRD",465,2017,3,19,"late","L1",435,113,17.7,"nd",2016,"nd","nd","nd",350,"1st"
"555","RYRDRD",307,2016,10,10,"late","L1",436,99,13.9,"0",2016,"nd","nd","nd",360,"1st"
"556","RYRDRP",692,2017,7,28,"late","L1",436,148,38.5,"nd",2016,"nd","nd","nd",360,"1st"
"557","RYRDRP",466,2017,3,19,"late","L1",437,121,26.2,"nd",2016,"nd","nd","nd",370,"1st"
"558","RYRDRP",562,2017,5,24,"late","L1",437,143,38.2,"nd",2016,"nd","nd","nd",370,"1st"
"559","RYRDRP",146,2016,8,16,"late","L1",435,85,7.9,"nd",2016,"nd","nd","nd",350,"1st"
"560","RYRDRR",142,2016,8,16,"late","L1",440,100,12,"nd",2016,"nd","nd","nd",400,"1st"
"561","RYRDRY",559,2017,5,24,"late","L1",436,127,22.6,"nd",2016,"nd","nd","nd",360,"2nd"
"562","RYRDRY",144,2016,8,16,"late","L1",435,79,5.9,"nd",2016,"nd","nd","nd",350,"2nd"
"563","RYRDRY",464,2017,3,19,"late","L1",435,103,12.2,"nd",2016,"nd","nd","nd",350,"2nd"
"564","RYRDRY",776,2017,10,10,"late","L1",436,143,33.7,"0",2016,"nd","nd","nd",360,"2nd"
"565","RYRDRY",690,2017,7,28,"late","L1",435,133,25.3,"nd",2016,"nd","nd","nd",350,"2nd"
"566","RYRDYD",534,2017,3,29,"late","L3",479,104,13.1,"nd",2016,"nd","nd","nd",790,"2nd"
"567","RYRDYD",165,2016,8,16,"late","L3",478,79,6,"nd",2016,"nd","nd","nd",780,"2nd"
"568","RYRDYG",164,2016,8,16,"late","L3",477,84,6.8,"nd",2016,"nd","nd","nd",770,"2nd"
"569","RYRDYR",530,2017,3,29,"late","L3",476.5,123,21.8,"nd",2016,"nd","nd","nd",765,"1st"
"570","RYRDYR",163,2016,8,16,"late","L3",477,85,7.7,"nd",2016,"nd","nd","nd",770,"1st"
"571","RYRDYR",358,2016,10,11,"late","L3",477,104,15,"0",2016,"nd","nd","nd",770,"1st"
"572","RYRPBB",209,2016,8,17,"early ","E2",423,94,10.5,"nd",2016,"nd","nd","nd",230,"1st"
"573","RYRPBB",548,2017,5,24,"early ","E2",420,146,38.1,"nd",2016,"nd","nd","nd",200,"1st"
"574","RYRPBD",205,2016,8,17,"early ","E2",421,77,5.5,"nd",2016,"nd","nd","nd",210,"2nd"
"575","RYRPBG",203,2016,8,17,"early ","E2",421,113,17.3,"nd",2016,"nd","nd","nd",210,"1st"
"576","RYRPBG",433,2016,10,13,"early ","E2",420,113,18.7,"0",2016,"nd","nd","nd",200,"1st"
"577","RYRPBR",202,2016,8,17,"early ","E2",421,105,15.7,"nd",2016,"nd","nd","nd",210,"1st"
"578","RYRPBY",680,2017,7,28,"early ","E2",421,144,40.9,"nd",2016,"nd","nd","nd",210,"1st"
"579","RYRPBY",550,2017,5,24,"early ","E2",421,130,26.3,"nd",2016,"nd","nd","nd",210,"1st"
"580","RYRPBY",204,2016,8,17,"early ","E2",421,92,9.6,"nd",2016,"nd","nd","nd",210,"1st"
"581","RYRPBY",459,2017,3,18,"early ","E2",422,108,16.7,"nd",2016,"nd","nd","nd",220,"1st"
"582","RYRPBY",437,2016,10,13,"early ","E2",421,97,10.7,"0",2016,"nd","nd","nd",210,"1st"
"583","RYRPBYY",442,2016,10,13,"early ","E2",423,98,10.3,"0",2016,"nd","nd","nd",230,"1st"
"584","RYRPBYY",683,2017,7,28,"early ","E2",423,147,41,"nd",2016,"nd","nd","nd",230,"1st"
"585","RYRPBYY",855,2017,10,12,"early ","E2",422.5,149,37.9,"1",2016,"female","nd","female",225,"1st"
"586","RYRPDD",189,2016,8,17,"early ","E2",418,95,10.7,"nd",2016,"nd","nd","nd",180,"1st"
"587","RYRPDD",348,2016,10,11,"early ","E2",414,100,11.9,"0",2016,"nd","nd","nd",140,"1st"
"588","RYRPDP",429,2016,10,13,"early ","E2",418,108,18.2,"0",2016,"nd","nd","nd",180,"1st"
"589","RYRPDP",190,2016,8,17,"early ","E2",418,106,16.6,"nd",2016,"nd","nd","nd",180,"1st"
"590","RYRPDR",187,2016,8,17,"early ","E2",416,88,11.2,"nd",2016,"nd","nd","nd",160,"2nd"
"591","RYRPDY",188,2016,8,17,"early ","E2",418,94,11.2,"nd",2016,"nd","nd","nd",180,"2nd"
"592","RYRPDY",849,2017,10,12,"early ","E2",419,130,26.2,"0",2016,"nd","nd","nd",190,"2nd"
"593","RYRPGB",569,2017,5,25,"early ","E3",529,146,34.1,"nd",2016,"nd","nd","nd",1290,"1st"
"594","RYRPGB",301,2016,10,10,"early ","E3",528,101,10.6,"0",2016,"nd","nd","nd",1280,"1st"
"595","RYRPGB",181,2016,8,17,"early ","E3",527,95,8.9,"nd",2016,"nd","nd","nd",1270,"1st"
"596","RYRPGB",754,2017,7,30,"early ","E3",534,183,70.2,"nd",2016,"nd","nd","nd",1340,"1st"
"597","RYRPGP",504,2017,3,20,"early ","E3",527,128,28.5,"nd",2016,"nd","nd","nd",1270,"1st"
"598","RYRPGP",180,2016,8,17,"early ","E3",527,104,13.1,"nd",2016,"nd","nd","nd",1270,"1st"
"599","RYRPGR",538,2017,3,29,"late","L3",489,123,24,"nd",2016,"nd","nd","nd",890,"1st"
"600","RYRPGR",176,2016,8,16,"late","L3",489,98,11.7,"nd",2016,"nd","nd","nd",890,"1st"
"601","RYRPGY",179,2016,8,17,"early ","E3",525,95,10.4,"nd",2016,"nd","nd","nd",1250,"1st"
"602","RYRPGY",567,2017,5,25,"early ","E3",529,135,35.7,"nd",2016,"nd","nd","nd",1290,"1st"
"603","RYRPPB",201,2016,8,17,"early ","E2",421,76,5.9,"nd",2016,"nd","nd","nd",210,"2nd"
"604","RYRPPB",674,2017,7,28,"early ","E2",415,148,40.7,"nd",2016,"nd","nd","nd",150,"2nd"
"605","RYRPPB",541,2017,5,24,"early ","E2",415,133,23.9,"nd",2016,"nd","nd","nd",150,"2nd"
"606","RYRPPD",199,2016,8,17,"early ","E2",420,89,10.9,"nd",2016,"nd","nd","nd",200,"2nd"
"607","RYRPPG",197,2016,8,17,"early ","E2",420,91,9.9,"nd",2016,"nd","nd","nd",200,"1st"
"608","RYRPPP",200,2016,8,17,"early ","E2",421,98,12,"nd",2016,"nd","nd","nd",210,"1st"
"609","RYRPPP",435,2016,10,13,"early ","E2",421,104,15.5,"0",2016,"nd","nd","nd",210,"1st"
"610","RYRPPR",196,2016,8,17,"early ","E2",420,100,11.4,"nd",2016,"nd","nd","nd",200,"1st"
"611","RYRPRD",174,2016,8,16,"late","L3",488,94,10.4,"nd",2016,"nd","nd","nd",880,"1st"
"612","RYRPRD",369,2016,10,11,"late","L3",489,106,15.3,"0",2016,"nd","nd","nd",890,"1st"
"613","RYRPRG",535,2017,3,29,"late","L3",483,119,16,"nd",2016,"nd","nd","nd",830,"2nd"
"614","RYRPRG",625,2017,5,26,"late","L3",484,133,27.5,"nd",2016,"nd","nd","nd",840,"2nd"
"615","RYRPRG",173,2016,8,16,"late","L3",486,75,5,"nd",2016,"nd","nd","nd",860,"2nd"
"616","RYRPRG",363,2016,10,11,"late","L3",483,83,7.5,"0",2016,"nd","nd","nd",830,"2nd"
"617","RYRPRG",766,2017,7,31,"late","L3",484,139,29.6,"nd",2016,"nd","nd","nd",840,"2nd"
"618","RYRPRR",626,2017,5,26,"late","L3",485,130,25.9,"nd",2016,"nd","nd","nd",850,"1st"
"619","RYRPRR",366,2016,10,11,"late","L3",487,97,13.1,"0",2016,"nd","nd","nd",870,"1st"
"620","RYRPRR",172,2016,8,16,"late","L3",486,93,10,"nd",2016,"nd","nd","nd",860,"1st"
"621","RYRPRR",769,2017,7,31,"late","L3",486.5,138,29.1,"nd",2016,"nd","nd","nd",865,"1st"
"622","RYRPYB",185,2016,8,17,"early ","E3",534,101,12,"nd",2016,"nd","nd","nd",1340,"1st"
"623","RYRPYB",506,2017,3,20,"early ","E3",534,136,33,"nd",2016,"nd","nd","nd",1340,"1st"
"624","RYRPYR",182,2016,8,17,"early ","E3",527,82,5.9,"nd",2016,"nd","nd","nd",1270,"2nd"
"625","RYRPYR",755,2017,7,30,"early ","E3",535,147,40.7,"nd",2016,"nd","nd","nd",1350,"2nd"
"626","RYRPYR",568,2017,5,25,"early ","E3",529,128,24.7,"nd",2016,"nd","nd","nd",1290,"2nd"
"627","RYRPYR",505,2017,3,20,"early ","E3",527,101,13.2,"nd",2016,"nd","nd","nd",1270,"2nd"
"628","RYRYBD",310,2016,10,10,"late","L1",437,78,5.5,"0",2016,"nd","nd","nd",370,"3rd"
"629","RYRYBD",141,2016,8,16,"late","L1",438,68,3.7,"nd",2016,"nd","nd","nd",380,"3rd"
"630","RYRYBG",695,2017,7,28,"late","L1",437,117,17.7,"nd",2016,"nd","nd","nd",370,"2nd"
"631","RYRYBG",775,2017,10,10,"late","L1",435,129,26.2,"0",2016,"nd","nd","nd",350,"2nd"
"632","RYRYBG",139,2016,8,16,"late","L1",437,80,6.3,"nd",2016,"nd","nd","nd",370,"2nd"
"633","RYRYBG",561,2017,5,24,"late","L1",436,115,18.4,"nd",2016,"nd","nd","nd",360,"2nd"
"634","RYRYBR",699,2017,7,28,"late","L1",440,93,8.8,"nd",2016,"nd","nd","nd",400,"3rd"
"635","RYRYBR",138,2016,8,16,"late","L1",436,69,3.7,"nd",2016,"nd","nd","nd",360,"3rd"
"636","RYRYBY",140,2016,8,16,"late","L1",437,97,10,"nd",2016,"nd","nd","nd",370,"1st"
"637","RYRYDD",773,2017,10,10,"late","L1",432,133,31.7,"0",2016,"nd","female","female",320,"2nd"
"638","RYRYDD",134,2016,8,16,"late","L1",432,75,5.6,"nd",2016,"nd","nd","nd",320,"2nd"
"639","RYRYDD",303,2016,10,10,"late","L1",432,84,7.5,"0",2016,"nd","nd","nd",320,"2nd"
"640","RYRYDD",553,2017,5,24,"late","L1",432,116,18.3,"nd",2016,"nd","nd","nd",320,"2nd"
"641","RYRYDR",129,2016,8,15,"late","L2",450,78,5.1,"nd",2016,"nd","nd","nd",500,"2nd"
"642","RYRYDY",132,2016,8,15,"late","L2",447,85,7.5,"nd",2016,"nd","nd","nd",470,"2nd"
"643","RYRYGR",874,2017,10,13,"control","C1",469,118,16.4,"0",2016,"nd","nd","nd",690,"2nd"
"644","RYRYGR",62,2016,5,27,"control","C1",467,84,6.8,"nd",2016,"nd","nd","nd",670,"2nd"
"645","RYRYGR",655,2017,5,27,"control","C1",469,113,19.3,"nd",2016,"nd","nd","nd",690,"2nd"
"646","RYRYPG",552,2017,5,24,"late","L1",432,117,20.4,"nd",2016,"nd","nd","nd",320,"2nd"
"647","RYRYPG",136,2016,8,16,"late","L1",434,80,6.2,"nd",2016,"nd","nd","nd",340,"2nd"
"648","RYRYPP",137,2016,8,16,"late","L1",435,75,4.8,"nd",2016,"nd","nd","nd",350,"2nd"
"649","RYRYPP",779,2017,10,10,"late","L1",437,134,27.8,"0",2016,"nd","male","male",370,"2nd"
"650","RYRYPP",556,2017,5,24,"late","L1",435,122,21.2,"nd",2016,"nd","nd","nd",350,"2nd"
"651","RYRYPP",306,2016,10,10,"late","L1",435,91,9.2,"0",2016,"nd","nd","nd",350,"2nd"
"652","RYRYPR",135,2016,8,16,"late","L1",434,80,6.8,"nd",2016,"nd","nd","nd",340,"2nd"
"653","RYRYPR",697,2017,7,28,"late","L1",439,121,19.7,"nd",2016,"nd","nd","nd",390,"2nd"
"654","RYRYPR",305,2016,10,10,"late","L1",435,87,8.3,"0",2016,"nd","nd","nd",350,"2nd"
"655","RYRYPR",467,2017,3,19,"late","L1",438,102,12.1,"nd",2016,"nd","nd","nd",380,"2nd"
"656","RYRYPR",564,2017,5,24,"late","L1",438,121,20.9,"nd",2016,"nd","nd","nd",380,"2nd"
"657","RYRYPR",780,2017,10,10,"late","L1",438,122,22.7,"0",2016,"nd","female","female",380,"2nd"
"658","RYRYYD",127,2016,8,15,"late","L2",444,75,6.2,"nd",2016,"nd","nd","nd",440,"2nd"
"659","RYRYYD",785,2017,10,10,"late","L2",444,129,30.4,"0",2016,"nd","female","female",440,"2nd"
"660","RYRYYD",474,2017,3,19,"late","L2",445,94,11.1,"nd",2016,"nd","nd","nd",450,"2nd"
"661","RYRYYD",631,2017,5,27,"late","L2",444,111,18,"nd",2016,"nd","nd","nd",440,"2nd"
"662","RYRYYD",702,2017,7,29,"late","L2",446,116,19.1,"nd",2016,"nd","nd","nd",460,"2nd"
"663","RYRYYG",694,2017,7,28,"late","L1",436,128,21.9,"nd",2016,"nd","nd","nd",360,"1st"
"664","RYRYYG",123,2016,8,15,"late","L2",441,99,11.3,"nd",2016,"nd","nd","nd",410,"1st"
"665","RYRYYG",558,2017,5,24,"late","L1",436,134,22.5,"nd",2016,"nd","nd","nd",360,"1st"
"666","RYRYYP",128,2016,8,15,"late","L2",447,83,8.5,"nd",2016,"nd","nd","nd",470,"2nd"
